# {"t_start": 1558814329.7096887, "env_id": "Pendulum-v0"} 
r,l,t
-1576.896731,200,0.897929
-1580.593082,200,1.277272
-1492.728512,200,1.650414
-1404.164811,200,2.011854
-1179.475423,200,2.383532
-1509.128242,200,2.768475
-1589.858209,200,3.16014
-1643.717535,200,3.693851
-1714.909727,200,4.044643
-1549.413898,200,4.400898
-1159.779912,200,4.788834
-1550.58625,200,5.209599
-1258.588654,200,5.611383
-1171.016103,200,5.974061
-1405.049431,200,6.36421
-1135.969744,200,6.715997
-1405.465002,200,7.073736
-1501.33373,200,7.431964
-1497.867781,200,7.787389
-1269.777675,200,8.125169
-1525.268615,200,8.551188
-1393.585437,200,8.913858
-1156.07258,200,9.264291
-1396.011314,200,9.636228
-1316.077048,200,10.052397
-1496.686363,200,10.417141
-1549.723659,200,10.776109
-1483.34777,200,11.161722
-638.410391,200,11.624985
-1301.936203,200,12.112077
-1336.767373,200,12.524759
-1198.12502,200,12.910391
-1079.60075,200,13.314107
-825.78188,200,13.673577
-1499.253803,200,14.050026
-1318.7615,200,14.401517
-1162.059221,200,14.753313
-1183.10344,200,15.164139
-1338.152667,200,15.587537
-1405.489643,200,16.019426
-951.83719,200,16.390305
-1302.016014,200,16.761175
-1012.182586,200,17.120074
-1494.320775,200,17.495706
-1064.684064,200,17.842817
-1494.201369,200,18.229743
-1152.016897,200,18.59951
-645.381915,200,18.972648
-1079.718591,200,19.383196
-1192.945766,200,19.787511
-1190.257299,200,20.168926
-1379.086962,200,20.519011
-1190.842542,200,20.880909
-1200.905529,200,21.241252
-1308.483715,200,21.59136
-1371.417024,200,21.966379
-1349.428039,200,22.341775
-1175.263138,200,22.693076
-1057.996361,200,23.06753
-1345.541599,200,23.43111
-1081.420771,200,23.796768
-1052.60038,200,24.170121
-1260.250517,200,24.512099
-1500.715283,200,24.869645
-1039.216197,200,25.226886
-1282.448916,200,25.589682
-1333.469201,200,25.975489
-1486.722038,200,26.386419
-1180.76783,200,26.766019
-1448.804927,200,27.172484
-650.790503,200,27.590471
-626.114815,200,27.990841
-1497.580545,200,28.373865
-1163.900285,200,28.829777
-891.667242,200,29.183187
-1495.131293,200,29.568042
-984.014724,200,29.932439
-1187.875523,200,30.27317
-511.730844,200,30.760294
-1435.308686,200,31.189803
-1498.963505,200,31.633309
-1205.280203,200,32.078971
-1387.070911,200,32.452631
-857.745969,200,32.924222
-1290.165799,200,33.375306
-1079.294651,200,33.842534
-909.219691,200,34.271352
-1337.45171,200,34.67003
-1173.153909,200,35.063674
-1199.178423,200,35.502131
-339.137439,200,35.974423
-1513.539055,200,36.386092
-1189.706456,200,36.778549
-1403.307783,200,37.202938
-1262.616258,200,37.628106
-997.20643,200,38.084085
-509.655711,200,38.477549
-145.790644,200,38.877353
-1493.585485,200,39.283291
-1154.0938,200,39.730669
-1182.635118,200,40.174177
-651.993472,200,40.574263
-1501.892672,200,40.989512
-508.906396,200,41.425063
-1213.824306,200,41.842547
-952.954486,200,42.247581
-1367.97119,200,42.637369
-1476.195144,200,43.030808
-388.556045,200,43.478203
-1434.807245,200,43.922989
-515.424732,200,44.384071
-1275.196264,200,44.807244
-390.747916,200,45.247667
-748.849831,200,45.675421
-396.565442,200,46.077382
-1178.16924,200,46.499683
-1155.136156,200,46.88682
-611.500009,200,47.380591
-787.910193,200,47.839921
-846.257475,200,48.267746
-1332.826329,200,48.660322
-1493.085738,200,49.029974
-9.119884,200,49.426559
-1422.97482,200,49.835843
-1402.137433,200,50.251338
-133.954069,200,50.699482
-1179.2447,200,51.174625
-1468.739625,200,51.621385
-1206.002031,200,52.020973
-1510.875668,200,52.407956
-1278.097217,200,52.897323
-129.447197,200,53.32773
-126.151128,200,53.757957
-1155.491083,200,54.162546
-1497.632364,200,54.571568
-1.093148,200,55.01225
-1492.739954,200,55.439771
-135.092841,200,55.831225
-237.893103,200,56.227232
-1495.556998,200,56.623145
-1499.924185,200,57.0605
-1516.117976,200,57.475336
-0.692746,200,57.850857
-948.501089,200,58.206801
-1347.370198,200,58.618277
-2.030482,200,58.989111
-952.952949,200,59.387841
-1054.671962,200,59.794558
-141.905931,200,60.131313
-1036.458124,200,60.465383
-128.474139,200,60.857662
-918.777033,200,61.241681
-1338.556583,200,61.628869
-1.505148,200,61.996699
-257.475373,200,62.364171
-1498.293412,200,62.743399
-1215.494805,200,63.206448
-1495.150213,200,63.610236
-1165.802593,200,64.046495
-1517.29295,200,64.431305
-132.894414,200,64.850345
-1193.851003,200,65.222163
-126.672235,200,65.600626
-131.297906,200,65.983136
-3.739285,200,66.355548
-1269.360543,200,66.691978
-1203.973551,200,67.045689
-1243.913368,200,67.430528
-1220.201178,200,67.81434
-131.000952,200,68.196372
-1508.709841,200,68.616191
-1141.17937,200,68.972235
-1065.814774,200,69.324951
-1512.407006,200,69.659055
-1066.956387,200,70.0119
-1388.195809,200,70.367423
-129.036446,200,70.733775
-1196.136607,200,71.106493
-1497.194373,200,71.490039
-855.367481,200,71.867058
-113.968427,200,72.275523
-1424.018942,200,72.641917
-1151.819342,200,73.142586
-994.275178,200,73.527689
-1493.950606,200,73.918643
-924.471478,200,74.340319
-1503.445919,200,74.717135
-955.073938,200,75.155847
-120.287348,200,75.595769
-237.216728,200,76.055464
-127.955687,200,76.506265
-1334.338683,200,76.929765
-949.122914,200,77.349405
-7.738087,200,77.720519
-376.579374,200,78.114223
-1501.120986,200,78.471587
-136.21369,200,78.887584
-113.488885,200,79.277488
-138.277532,200,79.697733
-1218.444386,200,80.114435
-1269.169422,200,80.539001
-1289.485625,200,80.939161
-252.342554,200,81.349364
-1271.094917,200,81.757469
-269.680265,200,82.133481
-4.444798,200,82.494401
-134.192387,200,82.859651
-388.403777,200,83.245346
-942.500682,200,83.637474
-1018.327269,200,84.027918
-675.244781,200,84.509321
-118.643677,200,84.952024
-1401.569256,200,85.372076
-123.474542,200,85.76566
-968.19818,200,86.167751
-12.391075,200,86.554181
-1308.167692,200,86.98808
-1048.879272,200,87.42849
-1447.254082,200,87.829042
-0.601803,200,88.188841
-1472.327731,200,88.590774
-920.780829,200,88.951634
-1457.887018,200,89.349267
-128.73709,200,89.770431
-1501.676633,200,90.159768
-1065.282814,200,90.532641
-1507.955803,200,90.958014
-1185.448992,200,91.360215
-1415.108748,200,91.746183
-119.395182,200,92.118954
-1350.698654,200,92.603328
-126.414843,200,92.972603
-1492.323022,200,93.383948
-0.272537,200,93.781841
-485.930197,200,94.215298
-240.517749,200,94.622778
-126.519919,200,95.004436
-117.189998,200,95.399011
-816.50929,200,95.812367
-1512.662953,200,96.250848
-1512.759023,200,96.75989
-128.22456,200,97.194141
-1311.450628,200,97.615208
-3.414886,200,98.030158
-1255.199397,200,98.443162
-1492.366394,200,98.90943
-1497.951695,200,99.326471
-1515.980504,200,99.719639
-1489.64365,200,100.116023
-118.804889,200,100.48434
-886.652075,200,100.997137
-1504.735048,200,101.37812
-2.377896,200,101.772329
-119.397188,200,102.144962
-10.405484,200,102.512864
-1364.052171,200,102.887381
-981.301946,200,103.268224
-1322.830833,200,103.648967
